Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES
Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,0.14,0.23,0.28,0.042,0.6,0.17,1.4,0.35,,,0.062,0.26,0.16,,,0.372,1.89,0.79,,,1.859133127,0.633068081,,,Healthy,Normal,Normal,71,0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS
Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,0.24,0.4,0.34,0.052,0.029,0.13,1.03,0.27,,,0.052,0.19,0.15,,,0.422,1.62,0.76,,,1.717247879,0.411851126,,,Healthy,Normal,Normal,71,0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.22,0.36,0.09,0.06,0.01,0.16,0.29,0.15,0.09,,0.02,0.15,,,,0.4,0.8,0.24,0.15,,1.162162162,0.333333333,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; Before Endurance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.18,0.28,0.08,0.06,0.02,0.11,0.13,0.16,0.05,,0.03,0.18,,,,0.32,0.59,0.24,0.1,,1.064516129,0.406593407,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; After Endurance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.21,0.36,0.14,0.06,0.03,0.1,0.47,0.13,0.03,,0.12,0.08,,,,0.42,0.9,0.27,0.1,,1.1625,0.291044776,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 60 mins after Endurance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.04,0.12,0.1,0.04,0.02,0.09,0.29,0.08,0.02,,0.09,0.07,,,,0.23,0.49,0.18,0.06,,2,0.371428571,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 180 mins after Endurance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.65,0.64,0.13,0.16,0.01,0.16,0.17,0.17,0.12,,0.02,0.15,,,,0.83,0.96,0.3,0.27,,0.496855346,0.329608939,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; Before  Resistance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.43,0.43,0.1,0.09,0.02,0.13,0.25,0.12,0.05,,0.02,0.13,,,,0.58,0.8,0.22,0.14,,0.654205607,0.273381295,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; After Resistance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.2,0.29,0.15,0.05,0.03,0.13,0.34,0.12,0.02,,0.14,0.08,,,,0.47,0.7,0.27,0.08,,1.152777778,0.313559322,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 60 mins after Resistance Exercise
Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,0.2,0.31,0.14,0.05,0.03,0.1,0.3,0.08,0.02,,0.09,0.07,,,,0.4,0.68,0.22,0.06,,0.904109589,0.299065421,,,Healthy,Normal,Normal,10,0,24,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; 180 mins after Resistance Exercise
Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Normal,Fasted,LC-MS,nM,35.02,49.77,104.83,31.96,,,,106.21,48.05,,,,,0.3608,,,,,80.3708,,0.697810272,3.436853403,,,Healthy,Normal,Normal,3,18,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; Pre Surgery
Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,36.73,61.43,149.66,110.5,,,,68.37,327.63,,,,,1.73,,,,,,,1.109985488,6.702220864,,,,,,3,18,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 1 mo post RYGB
Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,42.17,57.34,146.94,32.42,,,,121.43,134.7,,,,,0.65,,,,,,,0.920787464,4.382876093,,,,,,3,18,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 6 mo post RYGB
Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,31.29,116.72,155.1,6.85,,,,191.84,31.96,,,,,0.46,,,,,,,0.723512711,2.60935072,,,,,,3,18,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 12 mo post RYGB
Early Increases in Bile Acids Post Roux-en-Y Gastric Bypass Are Driven by Insulin-Sensitizing; Secondary Bile Acids,https://doi.org/10.1210/jc.2015-2467,Plasma,20,Unhealthy,Fasted,LC-MS,nM,144.22,258.02,269.39,26.48,,,,214.29,38.81,,,,,0.43,,,,,,,0.363166263,1.365851233,,,,,,3,18,,50ul plasma. 200ul 100nM NaOH and 50ul IS. Heated to 64deg for 30min. Centrifuge. SN acidified to pH 7 with 50ul 0.1M hydrochloric acid. Bring to final volume 1ml water. Added to colum equilibrated with 1ml MeOH; 1ml H2O. BAs washed with 1ml 5% aqueous methanol; 1ml 2% aq formic acid. BAs eluted with 1ml 2% ammonia in methanol. Evaporated to dryness using a rotary evaporator at 30deg for 2h. Resuspended in 100ul 25% acetonitrile in H2O,50,Sodium Hydroxide,Vacuum,Acetonitrile:H2O,SPE,,UPLC-ESI-MS,2015,Arithmetic Mean,,UPLC-ESI-MS: Mean; 24 mo post RYGB
Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,40,Unhealthy,Fasted,LC-MS,nM,1397.6,3365.4,507.8,4867.1,131.7,10051,29792.3,1061.3,25009.1,186.1,3521.2,8592.3,256.4,3997.6,72.5,14969.8,41750,1825.5,33873.8,390.3,8.037294539,0.636278689,Cirrhosis,,Liver,Cirrhosis,Metabolic,40,0,55.9,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,3.85,UHPLC-TQ-TOFMS: Mean; Cirrhosis
Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,45,Unhealthy,Fasted,LC-MS,nM,352.6,726,193.5,143.8,10.4,1151.8,3713.6,176.3,262.4,10.2,334.2,1053.1,45.6,12.1,3.6,1838.6,5492.7,415.4,418.3,24.2,4.741569095,0.11701881,ALD,,Liver,,,45,0,52.6,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,1.12,UHPLC-TQ-TOFMS: Mean; ALD
Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,42,Unhealthy,Fasted,LC-MS,nM,214.9,461.1,390.3,108.7,19.8,468.2,1090.5,305.1,115.6,22.4,125.8,290.8,57,10,4.6,808.9,1842.4,752.4,234.3,46.8,2.0840308,0.389808773,Viral Liver Disease,,Liver,,,16,26,48.1,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,0.96,UHPLC-TQ-TOFMS: Mean; Viral Liver Disease
Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,40,Normal,Fasted,LC-MS,nM,98.5,243,273.7,61.2,12.4,166.2,609.6,192.2,85.1,10,17.8,56.9,22.6,3.8,2.6,282.5,909.5,488.5,150.1,25,1.693960511,0.556711409,,,Healthy,Normal,Normal,19,21,39,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,0.95,UHPLC-TQ-TOFMS: Mean; Healthy
Efficacy of bile acid profiles in diagnosing and staging of alcoholic liver disease.,https://doi.org/10.1080/00365513.2022.2151508,Serum,41,Unhealthy,Fasted,LC-MS,nM,285.2,658.7,211.9,121.9,6.5,282.7,862.5,65.8,84.1,4.7,48.3,97.1,12.1,4.3,2.5,616.2,1618.3,289.8,210.3,13.7,1.140087214,0.229939584,NAFLD,,Liver,NAFLD,Metabolic,19,22,39.8,50ul serum. 150ul MeOH acetonitrile 50% added. Vortex. -20deg for 30min. Centrifuge. 100ul SN collected for analysis,100,Methanol:Acetonitrile,N2,,,,UHPLC-TQ-TOFMS,2022,Arithmetic Mean,1.04,UHPLC-TQ-TOFMS: Mean; NAFLD
Elevated hepatic fatty acid oxidation; high plasma fibroblast growth factor 21; and fasting bile acids in nonalcoholic steatohepatitis,https://doi.org/10.1097/MEG.0b013e328345c8c7,Plasma,38,Normal,Fasted,LC-MS,ng/ml,,,,,,0.27,,,,,0.05,0.2,,,,,,,,,,,,,Healthy,Normal,Normal,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS/MS,2011,Arithmetic Mean,,HPLC-MS/MS: Mean
Elevated hepatic fatty acid oxidation; high plasma fibroblast growth factor 21; and fasting bile acids in nonalcoholic steatohepatitis,https://doi.org/10.1097/MEG.0b013e328345c8c7,Plasma,36,Unhealthy,Fasted,LC-MS,ng/ml,,,,,,1.24,,,,,0.23,0.78,,,,,,,,,,,,,Liver,NASH,Metabolic,,,,250ul plasma mixed with 800ul acetonitrile. Vortex and centrifuge. SN blown to dryness with N2. Reconstituted in 125ul methanol and 125ul water.,250,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS/MS,2011,Arithmetic Mean,,HPLC-MS/MS: Mean; NASH
Exercise training and diet-induced weight loss increase markers of hepatic bile acid (BA) synthesis and reduce serum total BA concentrations in obese women,https://doi.org/10.1152/ajpendo.00644.2020,Serum,11,Normal,Fasted,LC-MS,uM,0.02,0.07,0.14,0.01,,0.12,0.35,0.12,0.04,,0.01,0.03,0.02,0.002,,0.15,0.45,0.28,0.052,,2.883333333,0.553333333,Obese,,Healthy,Normal,Normal,0,11,,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,UPLC-MS,2021,Median,,UPLC-MS: Median; Pre-exercise intervention
Exercise training and diet-induced weight loss increase markers of hepatic bile acid (BA) synthesis and reduce serum total BA concentrations in obese women,https://doi.org/10.1152/ajpendo.00644.2020,Serum,11,Normal,Fasted,LC-MS,uM,0.03,0.06,0.11,0.01,,0.08,0.32,0.06,0.03,,0.01,0.03,0.01,0.001,,0.12,0.41,0.18,0.041,,2.576190476,0.416981132,Obese,,Healthy,Normal,Normal,0,11,,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50,Methanol,Vacuum,Methanol:H2O,,,UPLC-MS,2021,Median,,UPLC-MS: Median; Post-exercise intervention
Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,75,Normal,Fasted,LC-MS,uM,0.0987,0.266,0.283,0.0562,0.0218,0.15,0.77,0.21,0.0815,0.0089,0.0195,0.0625,0.0229,0.0095,0.0037,0.2682,1.0985,0.5159,0.1472,0.0344,1.844426071,0.510353406,,,Healthy,Normal,Normal,28,47,33,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; Normal
Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,71,Normal,Fasted,LC-MS,uM,0.0717,0.17,0.274,0.0388,0.0211,0.102,0.487,0.119,0.058,0.0071,0.0288,0.0583,0.0218,0.0092,0.0038,0.2025,0.7153,0.4148,0.106,0.032,1.554899236,0.602309871,,,Healthy,Normal,Normal,43,28,55,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; T2DM
Fasting serum bile acids concentration is associated with insulin resistance independently of diabetes status ,https://doi.org/10.1515/cclm-2018-0741,Serum,95,Normal,Fasted,LC-MS,uM,0.0905,0.204,0.292,0.0465,0.0154,0.113,0.488,0.165,0.0654,0.0076,0.0199,0.0506,0.0182,0.0105,0.0035,0.2234,0.7426,0.4752,0.1224,0.0265,1.452344232,0.646066253,,,Healthy,Normal,Normal,40,55,55,10ul serum added to 10ul IS mixture. Nitrogen drying. 100ul MeOH. Centrifuge to elute MeOH extract. 60ul deionized H2O to extract.,10,,,Methanol:H2O,,,HPLC-MS/MS,2019,Median,,HPLC-MS/MS: Median; Impaired fasting glucose
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,12,Normal,Fasted,LC-MS,uM,0.099,,,0.223,,0.664,,,0.15,,0.213,,,0.014,,0.976,,,,,3.232919255,0.396516393,T2D,,Healthy,Normal,Normal,4,8,49,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; Fasted
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,62,Normal,Fed,LC-MS,uM,0.075,,,0.15,,0.257,,,0.088,,0.024,,,0.0003,,0.356,,,,,1.641333333,0.669382022,,,Healthy,Normal,Normal,28,34,40,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; Healthy Control; Fed
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,25,Normal,Fed,LC-MS,uM,0.167,,,0.143,,0.233,,,0.085,,0.031,,,0.002,,0.431,,,,,1.132258065,0.533642691,IGT,,Healthy,Normal,Normal,6,19,45,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; IGT; Fed
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,12,Normal,Fed,LC-MS,uM,0.567,,,0.188,,0.592,,,0.077,,0.131,,,0.003,,1.29,,,,,1.063576159,0.207751938,T2D,,Healthy,Normal,Normal,4,8,49,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; T2D; Fed
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,62,Normal,Fasted,LC-MS,uM,0.161,,,0.193,,0.168,,,0.112,,0.036,,,0.002,,0.365,,,,,0.898305085,0.84109589,,,Healthy,Normal,Normal,28,34,40,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; Healthy Control; Fasted
Fasting Serum Taurine-Conjugated Bile Acids Are Elevated in Type 2 Diabetes and Do Not Change With Intensification of Insulin,https://doi.org/10.1210/jc.2013-3367,Serum,25,Normal,Fasted,LC-MS,uM,0.27,,,0.193,,0.209,,,0.127,,0.048,,,0.006,,0.527,,,,,0.842332613,0.618595825,IGT,,Healthy,Normal,Normal,6,19,45,50ul serum. 50ul IS and 400ul acetonitrile. Centrifugation. Dried. Reconstituted in 400ul methanol and 200ul H2O.,50,Acetonitrile,,Methanol:H2O,,,HPLC-MS/MS,2014,Arithmetic Mean,,HPLC-MS/MS: Mean; IGT; Fasted
Hepatic Uptake of Bile Acids in Man,https://doi.org/10.1172/JCI110668,Serum,5,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,0.61,0.64,1.19,,,,,Cholecystectomised,,Non-Liver,,,1,4,62,1ml serum. Hydrolysis with 1M KOH at 110deg for 12h. Alkaline solution ectracted 3 times with ethyl ether. BAs extracted from acidified water phase with ethyl ether. Methylated with diazomethane and converted into trimethylsilyl ether. LKB 9000 Instrument and 1.5% SE-30 column,1000,,,,,,GC-MS,1982,Arithmetic Mean,,GC-MS: Arithmetic Mean
Human insulin resistance is associated with increased plasma levels of 12-alpha hydroxylated bile acids.,https://doi.org/10.2337/db13-0639,Plasma,35,Normal,Fasted,LC-MS,uM,0.04,0.17,0.33,0.05,0.01,0.15,0.57,0.19,,,0.04,0.06,0.03,,,0.23,0.8,0.55,,,1.733333333,0.59223301,T2D,,Healthy,Normal,Normal,17,18,53,100ul plasma. Spiked with 10ul IS. Mixed with 1ml ice-cold acetonitrile. Vortex. Centrifuge. SN dried at 45deg under N2. Reconstitute in 100ul 55/45 MeOH/H2O; containing 5mM ammonium formate,100,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS,2013,Arithmetic Mean,,HPLC-MS: Mean; T2D
Human insulin resistance is associated with increased plasma levels of 12-alpha hydroxylated bile acids.,https://doi.org/10.2337/db13-0639,Plasma,200,Normal,Fasted,LC-MS,uM,0.05,0.09,0.2,0.02,0.01,0.08,0.31,0.1,,,0.01,0.03,0.02,,,0.14,0.43,0.32,,,1.486486486,0.614035088,,,Healthy,Normal,Normal,97,103,46,100ul plasma. Spiked with 10ul IS. Mixed with 1ml ice-cold acetonitrile. Vortex. Centrifuge. SN dried at 45deg under N2. Reconstitute in 100ul 55/45 MeOH/H2O; containing 5mM ammonium formate,100,Acetonitrile,N2,Methanol:H2O,,,HPLC-MS,2013,Arithmetic Mean,,HPLC-MS
In Search of an Accurate Evaluation of Intrahepatic Cholestasis of Pregnancy,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3820586/,Serum,23,Normal,Fasted,Capillary Electrophoresis,uM,,,,,,,,,,,,,,,,0.4,0.75,1.9,3.1,0.34,,,,,,Normal,Normal,0,23,,2ml serum. Add 3ml acetonitrile. Vortex. 0.5g ammonium sulphate to SN. Organic phases evaporated and redissolved in 300ul acetonitrile. 6.7ml water added. 7ml volume passed through C18 Bakerbond cartridge condtioned with 4ml methanol and 5ml water. BAs eluted with 4ml methanol. Eluate evaporated to dryness and dissolved in 50ul 1mM sodium borate; 1mM sodium dihydrogen phosphate; pH 7.0 in 20% MeOH. ,2000,,,,,,Capillary Electrophoresis,2012,Arithmetic Mean,,Capillary Electrophoresis: Mean; Healthy Control
