,Paper,Ref,Serum/Plasma,#Subjects,Healthy/Unhealthy,Fasted/Fed,Analysis Technique,Units,CA,CDCA,DCA,UDCA,LCA,G-CA,G-CDCA,G-DCA,G-UDCA,G-LCA,T-CA,T-CDCA,T-DCA,T-UDCA,T-LCA,totalCA,totalCDCA,totalDCA,totalUDCA,totalLCA,Conjugated:Unconjugated,2nd:1st,Disease,Biliary/Hepato,Liver/Non-liver,NAFLD/NASH/Cirrhosis,Metabolic/HCC/Cholestatsis,Males,Females,Average Age,Extraction,Starting Volume,Protein Precipitation,Evaporation Technique,Reconstitution Solvent,Extraction Method,Derivitisation,Exact Analysis Technique,Publication Year,Value Type,Total Bilirubin (mg/dL),NOTES,Number of Patients
38,Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,52,Unhealthy,Fasted,LC-MS,uM,800.0,2090.0,410.0,1090.0,730.0,,,,,,,,,,,1180.0,2640.0,960.0,1750.0,1030.0,0.475,0.771626298,NAFLD Mild Fibrosis,,Liver,NAFLD,Metabolic,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20.0,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; NAFLD (Mild Fibrosis),
39,Association of Serum and Fecal Bile Acid Patterns With Liver Fibrosis in Biopsy-Proven Disease: An Observational Study Nonalcoholic Fatty Liver,https://doi.org/10.14309/ctg.0000000000000503,Serum,34,Unhealthy,Fasted,LC-MS,uM,1390.0,2450.0,1350.0,830.0,1110.0,,,,,,,,,,,1940.0,3260.0,1940.0,1500.0,1450.0,0.415,0.856770833,NAFLD Advanced Fibrosis,,Liver,NAFLD,Metabolic,,,,20ul serum. IS and 20ul ethanol:H2O 9:1. Diluted with 2ml 0.5 M potassium phosphate buffer. Passed through Bond Elut C18 cartridges. Cartridge washed with 1.6ml water. BAs eluted in 3ml ethanol:water 9:1. Evaporated at 100deg under N2. Redissolved in 20mM ammonium acetate buffer (pH 7.5):MeOH 1:1. Centrifuge. SN injected.,20.0,Ethanol:H2O,N2,Ammonium Acetate:Methanol,SPE,,LC-ESI-MS/MS,2022,Arithmetic Mean,,LC-ESI-MS/MS: Mean; NAFLD (Advanced Fibrosis),
40,Bile Acid Alterations Are Associated With Insulin Resistance; but Not With NASH; in Obese Subjects,https://doi.org/10.1210/jc.2017-01397,Plasma,26,Normal,Fasted,LC-MS,nM,37.0,97.0,177.0,,0.0,82.0,235.0,58.0,,8.0,15.0,32.0,10.0,,1.0,134.0,364.0,245.0,,9.0,1.418006431,0.510040161,,,Healthy,Normal,Normal,3.0,23.0,40.5,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2017,Median,0.49,LC-MS/MS: Median; No-NASH; normal liver; or minor lesions; as well as no fibrosis,26.0
41,Bile Acid Alterations Are Associated With Insulin Resistance; but Not With NASH; in Obese Subjects,https://doi.org/10.1210/jc.2017-01397,Plasma,32,Unhealthy,Fasted,LC-MS,nM,27.0,77.0,250.0,,0.0,88.0,210.0,85.0,,7.0,15.0,31.0,14.0,,1.0,130.0,318.0,349.0,,8.0,1.274011299,0.796875,NASH,,Liver,NASH,Metabolic,13.0,19.0,41.3,50ul serum. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2017,Median,0.56,LC-MS/MS: Median; NASH,32.0
42,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,37,Unhealthy,Fasted,LC-MS,nM,1294.89,913.44,107.86,699.21,35.64,5376.38,14338.61,380.25,3394.88,42.142,2223.07,6774.66,244.4,881.0,13.63,8894.34,22026.71,732.51,4975.09,91.412,11.03526076,0.187542532,ALD,,Liver,,,37.0,0.0,56.78,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,4.72,UPLC-TQMS: Mean; ALD,37.0
43,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,57,Unhealthy,Fasted,LC-MS,nM,514.23,478.31,102.91,1725.86,18.12,4784.93,6519.32,199.67,9072.45,26.8,1652.45,2613.9,113.27,1395.93,3.79,6951.61,9611.53,415.85,12194.24,48.71,9.291481037,0.764275373,Primary Biliary Cirrhosis,,Liver,Cirrhosis,Metabolic,7.0,50.0,61.3,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,2.33,UPLC-TQMS: Mean; Primary Biliary Cirrhosis,57.0
44,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,400,Unhealthy,Fasted,LC-MS,nM,146.39,197.89,80.02,39.61,1.36,924.69,1759.09,251.18,69.6,3.07,275.51,455.42,73.62,8.83,1.99,1346.59,2412.4,404.82,118.04,6.42,8.216734369,0.14080378,Hep B,,Liver,,,304.0,96.0,34.07,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,1.26,UPLC-TQMS: Mean; Hep B,400.0
45,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,11,Unhealthy,Fasted,LC-MS,nM,186.12,339.67,57.45,83.62,0.99,387.77,1526.32,118.72,67.96,1.64,72.88,180.02,21.1,15.59,1.62,646.77,2046.01,197.27,167.17,4.25,3.584068279,0.136917981,Hep C,,Liver,,,8.0,3.0,40.4,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,1.02,UPLC-TQMS: Mean; Hep C,11.0
46,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,153,Normal,Fasted,LC-MS,nM,57.43,134.55,60.19,41.89,1.37,67.84,252.14,44.36,23.48,1.37,9.01,17.93,568.0,1.56,1.12,134.28,404.62,672.55,66.93,3.86,3.340249805,1.379365374,,,Healthy,Normal,Normal,108.0,45.0,38.92,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,0.89,UPLC-TQMS: Mean; Healthy Control,153.0
47,Bile Acid Profiles Are Distinct among Patients with Different Etiologies of Chronic Liver Disease,https://doi.org/10.1021/acs.jproteome.0c00852,Serum,214,Unhealthy,Fasted,LC-MS,nM,196.59,488.49,196.34,263.18,4.3,2079.35,992.22,185.3,148.34,5.9,63.32,110.15,27.35,7.46,1.44,2339.26,1590.86,408.99,418.98,11.64,3.151562364,0.213634698,NASH,,Liver,NASH,Metabolic,109.0,105.0,44.8,50ul serum. 150ul MeOH with IS. Vortex. Stand for 10min. Centrifuge. 160ul SN vacuum-dried. Reconstituted in equal volumes acetonitrile H2O. ,50.0,Methanol,Vacuum,Acetonitrile:H2O,,,UPLC-TQMS,2021,Arithmetic Mean,,UPLC-TQMS: Mean; NASH,214.0
48,Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,9,Unhealthy,Fasted,LC-MS,nM,40.0,,15.0,,,25030.0,12370.0,680.0,40.0,,53920.0,18130.0,1030.0,30.0,,78990.0,,1725.0,,,2022.363636,0.016394191,Cholestasis,,,,,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500.0,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Cholestatic,
49,Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,23,Normal,Fasted,LC-MS,nM,65.0,130.0,240.0,20.0,30.0,190.0,720.0,390.0,14.0,,62.0,95.0,80.0,,,317.0,,710.0,,,3.197938144,0.613312203,,,Healthy,Normal,Normal,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500.0,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control,
50,Bile acid profiling in human biological samples: Comparison of extraction procedures and application to normal and cholestatic patients.,https://doi.org/10.1016/j.jchromb.2012.05.015,Serum,39,Normal,Fasted,LC-MS,nM,169.12,177.84,242.9,57.91,,112.81,705.03,255.25,99.62,,41.15,83.43,47.89,,,323.08,966.3,546.04,157.53,,2.076632138,0.545665359,,,Healthy,Normal,Normal,,,,500 ul serum Acetonitrile deproteinization; followed by evaporation and solid phase extraction,500.0,Acetonitrile,N2,Ammonium Acetate,SPE,,LC-MS/MS,2012,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control,
51,Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,20,Unknown,Unknown,LC-MS,nM,155.0,284.0,207.0,62.0,41.0,207.0,1156.0,504.0,137.0,27.0,40.0,170.0,72.0,8.0,5.0,402.0,1610.0,783.0,207.0,73.0,3.105473965,0.52833002,Mild Cognitive Impairment,,,,,9.0,21.0,78.0,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Mild Cognitive Impairment; no liver info,30.0
52,Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,30,Unknown,Unknown,LC-MS,nM,215.0,361.0,423.0,88.0,32.0,423.0,1326.0,640.0,160.0,41.0,134.0,211.0,97.0,8.0,8.0,772.0,1898.0,1160.0,256.0,81.0,2.72386059,0.560674157,,,,,,8.0,22.0,77.0,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Control; no liver info,30.0
53,Bile acid quantification of 20 plasma metabolites identifies lithocholic acid as a putative biomarker in Alzheimer’s disease.,https://doi.org/10.1007/s11306-017-1297-5,Plasma,20,Unknown,Unknown,LC-MS,nM,224.0,1245.0,332.0,209.0,50.0,332.0,1951.0,956.0,137.0,66.0,99.0,347.0,152.0,11.0,11.0,655.0,3543.0,1440.0,357.0,127.0,1.97184466,0.458313483,Alzheimer's Disease,,,,,9.0,11.0,79.0,Biocrates Bile Acid Kit,,,,,,,UHPLC-MS,2017,Arithmetic Mean,,UHPLC-MS: Mean; Alzheimer's Disease; no liver info,20.0
54,Bile acids associate with glucose metabolism; but do not predict conversion from impaired fasting glucose to diabetes,https://doi.org/10.1016/j.metabol.2019.154042,Plasma,205,Both,Fasted,LC-MS,nM,,,,,,,,,,,,,,,,257.7,648.9,417.0,81.4,16.4,,,,,,,,141.0,64.0,56.0,50ul plasma. 325ul 1/100 dilution IS solution. 225ul cold MeOH added for protein precipitation. Vortex. Kept at -20deg for 20mins; Centrifuge. SN dried in Savant speedvac concentrator. Reconsititute in 50ul MeOH:H20 50:50 v/v. Centrifuge,50.0,Methanol,Vacuum,Methanol:H2O,,,LC-MS/MS,2019,Arithmetic Mean,,LC-MS/MS: Mean,205.0
55,Bile acids profile; histopathological indices and genetic variants for non-alcoholic fatty liver disease progression,https://doi.org/10.1016/j.metabol.2020.154457,Plasma,102,Unhealthy,Fasted,LC-MS,nM,72.8,227.8,374.9,27.4,18.2,522.0,1442.1,409.7,197.1,13.4,70.2,211.5,63.4,5.7,4.6,665.0,1881.4,848.0,230.2,36.2,4.076688393,0.437637449,NAFLD,,Liver,NAFLD,Metabolic,53.0,49.0,52.3,20ul plasma. Mix with 80ul ice cold MeOH IS mixture. Vortex. Centrifuge. SN analysed,20.0,Methanol,,,Direct Injection,,HPLC-MS/MS,2020,Median,,HPLC-MS/MS: Median NAFLD,102.0
56,Bile acids profile; histopathological indices and genetic variants for non-alcoholic fatty liver disease progression,https://doi.org/10.1016/j.metabol.2020.154457,Plasma,50,Normal,Fasted,LC-MS,nM,44.8,68.0,251.9,34.4,27.7,105.1,383.4,136.7,61.0,9.5,12.8,44.8,19.9,2.0,4.4,162.7,496.2,408.5,97.4,41.6,1.826616682,0.830930338,,,Healthy,Normal,Normal,,,,20ul plasma. Mix with 80ul ice cold MeOH IS mixture. Vortex. Centrifuge. SN analysed,20.0,Methanol,,,Direct Injection,,HPLC-MS/MS,2020,Median,,HPLC-MS/MS: Median,
57,Circulating bile acid concentrations and non-alcoholic fatty liver disease in Guatemala,https://doi.org/10.1111/apt.16948,Serum,251,Unhealthy,Fasted,LC-MS,ng/ml,74.40039158100831,226.6938359653591,259.80641874681606,26.235354049923586,11.763143919277747,160.22336769759448,531.5836298932385,135.00889679715303,38.92348754448399,6.642066420664206,10.994764397905758,44.82689613768261,10.646387832699622,,,110.67,350.4,168.02,,,1.812857324,0.440562171,NAFLD,,Liver,NAFLD,Metabolic,84.0,167.0,54.3,,,,,,,,LC-MS/MS,2022,Arithmetic Mean,,LC-MS/MS: Mean; NAFLD,251.0
58,Circulating bile acid concentrations and non-alcoholic fatty liver disease in Guatemala,https://doi.org/10.1111/apt.16948,Serum,164,Normal,Fasted,LC-MS,ng/ml,75.99118942731278,194.34538970962808,211.41110545084052,21.421293937850226,9.506107275624004,99.11941580756013,451.51245551601426,107.4288256227758,36.588078291814945,7.67988929889299,2.423889858444832,25.91554932959776,5.003001801080648,,,78.45,292.25,133.8,,,1.65034101,0.446641489,No-NAFLD,,Healthy,Normal,Normal,82.0,82.0,56.9,,,,,,,,LC-MS/MS,2022,Arithmetic Mean,,LC-MS/MS: Mean; Healthy Control,164.0
59,Concentration of unsulfated lithocholic acid in portal and systemic venous plasma: evidence that lithocholic acid does not down regulate the hepatic cholesterol 7?-hydroxylase activity in gallstone patients.,https://doi.org/10.1016/0925-4439(96)00030-0,Serum,7,Unhealthy,Fasted,GC-MS,uM,,,,,,,,,,,,,,,,300.0,410.0,410.0,,30.0,,,Cholelithiasis,,Non-Liver,,,1.0,6.0,58.0,500ul plasma; 100ng IS dissolved in 20ul ethanol added. Dilute in 2ml aqueous ethanol. Alkaline hydrolysis 120deg 16h. Dilutewith saline and extract twice with diethylether to remove neutral steroids. Acidification with HCl; BAs extracted with diethylether. Methylated with diazomethane. Trichlorosilane and hexamethylsilazane. Evaporate to dryness and dissolve in hexane ,500.0,,,,,,GC-MS,1996,Arithmetic Mean,,GC-MS: Mean; Gallstone/Cholithiasis,7.0
60,Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,15,Normal,Fasted,GC-MS,ug/ml,797.8463044542339,1357.6158940397352,970.4533876719306,114.62047885888944,37.174721189591075,,,,,,,,,,,,,,,,,0.512223516,,,Healthy,Normal,Normal,7.0,8.0,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500.0,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Normal Levels of Serum  Bilirubin,15.0
61,Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,8,Unhealthy,Fasted,GC-MS,ug/ml,58690.651003426334,40458.48191543556,1321.9561895058582,0.0,130.11152416356876,,,,,,,,,,,,,,,,,0.014248087,Obstructive jaundice,,Liver,,,4.0,4.0,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500.0,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Obstructive Jaundice,8.0
62,Determination of sulfated and nonsulfated bile acids in serum by mass fragmentography,https://doi.org/10.1016/0039-128X(83)90121-6,Serum,8,Unhealthy,Fasted,GC-MS,ug/ml,6064.610866372981,9875.19103413143,896.5868568517574,295.4661232806928,61.07275624004248,,,,,,,,,,,,,,,,,0.077261998,Cirrhosis,,Liver,Cirrhosis,Metabolic,7.0,1.0,,0.5ml serum diluted in 0.5M phosphate buffer;introduced to Sep-Pak C18 cartridge; sulfated and non-sulfated bile acids separated on PHP-LH-20 column. Alkaline hydrolysis 4h with 2ml 4M aqueous NaOH at 120deg in autoclave. Hydrolysate acidified to pH1 with 2M HCl and extracted with ether 3 times. Ether extracts evaporated to driness and derivatized to HFIP-TFA conjugates ,500.0,,,,,,GC-MS,1983,Arithmetic Mean,,GC-MS: Arithmetic Mean; Cirrhosis,8.0
63,Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,20,Normal,Fasted,GLC,uM,,,,,,,,,,,,,,,,300.0,790.0,570.0,160.0,250.0,,,,,Healthy,Normal,Normal,,,,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Healthy controls,
64,Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,20,Normal,Fed,GLC,uM,,,,,,,,,,,,,,,,720.0,2140.0,1400.0,560.0,480.0,,,,,Healthy,Normal,Normal,,,,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Healthy controls; 2 hours after standardised meal,
65,Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,43,Unhealthy,Fasted,GLC,uM,,,,,,,,,,,,,,,,16500.0,18700.0,3100.0,1800.0,1300.0,,,Cirrhosis,,Liver,Cirrhosis,Metabolic,30.0,13.0,48.6,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean; Cirrhotic (biopsy-proven of laparoscopy),43.0
66,Diagnostic sensitivity of fasting and postprandial serum bile acids determined by different methods.,https://doi.org/10.1016/0009-8981(87)90446-3,Serum,43,Unhealthy,Fed,GLC,uM,,,,,,,,,,,,,,,,29300.0,39600.0,5400.0,2800.0,2700.0,,,Cirrhosis,,Liver,Cirrhosis,Metabolic,30.0,13.0,48.6,0.5-2ml serum using Amberlite XAD-2; solvolysis of sulfate groups; enzymatic hydrolysis of G- and T- conjugates; extraction of uBAs with diethylether at pH 1.0 with conc. HCl. Free acids methylated using acidified mixture of methanol and 2.2-dimethyoxypropane (1:1 v/v) and trimethyl silyayed using a mixture of hexamethyldisasane and trimethylcholorosilane in pyridine (2:1:3 v/v) at RT for 30 mins,,,,,,,Capilliary gas-liquid chromatography,1987,Arithmetic Mean,,Capilliary gas-liquid chromatography: Mean;  Cirrhotic (biopsy-proven of laparoscopy); 2 hours after standardised meal,43.0
67,Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,60.0,130.0,250.0,35.0,130.0,220.0,1840.0,490.0,,,85.0,370.0,180.0,,,365.0,2340.0,920.0,,,5.26446281,0.401109057,,,Healthy,Normal,Normal,71.0,0.0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100.0,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS,71.0
68,Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,70.0,200.0,390.0,52.0,240.0,230.0,1750.0,540.0,,,100.0,390.0,230.0,,,400.0,2340.0,1160.0,,,3.403361345,0.529927007,,,Healthy,Normal,Normal,71.0,0.0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100.0,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS,71.0
69,Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fasted,LC-MS,uM,120.0,200.0,290.0,48.0,56.0,110.0,760.0,230.0,,,47.0,140.0,150.0,,,277.0,1100.0,670.0,,,2.012605042,0.562091503,,,Healthy,Normal,Normal,71.0,0.0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100.0,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS: Fasted,71.0
70,Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,140.0,230.0,280.0,42.0,600.0,170.0,1400.0,350.0,,,62.0,260.0,160.0,,,372.0,1890.0,790.0,,,1.859133127,0.633068081,,,Healthy,Normal,Normal,71.0,0.0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100.0,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS,71.0
71,Distinct Postprandial Bile Acids Responses to a High-Calorie Diet in Men Volunteers Underscore Metabolically Healthy and Unhealthy Phenotypes,https://doi.org/10.3390/nu12113545,Plasma,71,Normal,Fed,LC-MS,uM,240.0,400.0,340.0,52.0,29.0,130.0,1030.0,270.0,,,52.0,190.0,150.0,,,422.0,1620.0,760.0,,,1.717247879,0.411851126,,,Healthy,Normal,Normal,71.0,0.0,30.1,100ul plasma deproteinized with acetonitrile (final conc 80& v/v) containing 25ug Nor and 10ug C4-D7. Vortex. Incubate 20min at RT and centrifuge. Evaporate SN under N2 at 50deg resuspend in150ul methanol.,100.0,Acetonitrile,N2,Methanol,,,HPLC-MS/MS,2020,Arithmetic Mean,,HPLC-MS/MS,71.0
72,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,220.0,360.0,90.0,60.0,10.0,160.0,290.0,150.0,90.0,,20.0,150.0,,,,400.0,800.0,240.0,150.0,,1.162162162,0.333333333,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; Before Endurance Exercise,10.0
73,Divergent effects of resistance and endurance exercise on plasma bile acids; FGF19; and FGF21 in humans,https://doi.org/10.1172/jci.insight.122737,Serum,10,Normal,Fasted,LC-MS,uM,180.0,280.0,80.0,60.0,20.0,110.0,130.0,160.0,50.0,,30.0,180.0,,,,320.0,590.0,240.0,100.0,,1.064516129,0.406593407,,,Healthy,Normal,Normal,10.0,0.0,24.0,150ul plasma with 10ul IS. 525ul ice-cold LC-MS MeOH added. Centrifuge. SN dried via speed vacuum. Samples resuspended in 50ul 95/5  5nM ammonium acetate with 0.1% formic acid/0.1% formic acid in acetonitrile.  ,150.0,Methanol,Vacuum,Ammonium Acetate:Formic Acid:Acetonitrile,,,LC-MS,2018,Arithmetic Mean,,LC-MS: Arithmetic Mean; After Endurance Exercise,10.0
